ts,heatpump_cop_gs,heatpump_cop_as,pv_availability_factor,wind_availability_factor
2303,5.1,2.75,0,0.388
2304,5.1,2.75,0,0.386
2305,5.1,2.75,0,0.391
2306,5.1,2.75,0,0.425
2307,5.1,2.75,0,0.437
2308,5.1,2.75,0,0.425
2309,5.06,2.74,0.002,0.372
2310,5.06,2.74,0.078,0.281
2311,5.06,2.74,0.245,0.289
2312,5.06,2.74,0.36,0.428
2313,5.06,2.74,0.407,0.539
2314,5.06,2.74,0.412,0.573
2315,5.33,2.83,0.438,0.551
2316,5.33,2.83,0.46,0.491
2317,5.33,2.83,0.493,0.412
2318,5.33,2.83,0.447,0.367
2319,5.33,2.83,0.34,0.371
2320,5.33,2.83,0.187,0.345
2321,5.14,2.76,0.061,0.331
2322,5.14,2.76,0,0.407
2323,5.14,2.76,0,0.429
2324,5.14,2.76,0,0.364
2325,5.14,2.76,0,0.28
2326,5.14,2.76,0,0.216
2327,4.81,2.65,0,0.181
2328,4.81,2.65,0,0.167
2329,4.81,2.65,0,0.155
2330,4.81,2.65,0,0.152
2331,4.81,2.65,0,0.128
2332,4.81,2.65,0,0.077
2333,4.83,2.66,0.002,0.038
2334,4.83,2.66,0.073,0.045
2335,4.83,2.66,0.219,0.047
2336,4.83,2.66,0.374,0.059
2337,4.83,2.66,0.501,0.108
2338,4.83,2.66,0.572,0.139
2339,5.89,3.02,0.598,0.164
2340,5.89,3.02,0.57,0.182
2341,5.89,3.02,0.491,0.201
2342,5.89,3.02,0.394,0.227
2343,5.89,3.02,0.284,0.264
2344,5.89,3.02,0.153,0.278
2345,5.59,2.92,0.044,0.334
2346,5.59,2.92,0,0.479
2347,5.59,2.92,0,0.538
2348,5.59,2.92,0,0.55
2349,5.59,2.91,0,0.559
2350,5.58,2.91,0,0.55
2351,5.18,2.77,0,0.522
2352,5.18,2.77,0,0.505
2353,5.18,2.77,0,0.496
2354,5.18,2.78,0,0.487
2355,5.19,2.78,0,0.485
2356,5.19,2.78,0,0.51
2357,5.19,2.78,0.003,0.525
2358,5.19,2.78,0.076,0.44
2359,5.19,2.78,0.21,0.362
2360,5.18,2.78,0.343,0.431
2361,5.18,2.78,0.435,0.502
2362,5.18,2.78,0.462,0.452
2363,6.44,3.19,0.593,0.381
2364,6.44,3.19,0.649,0.338
2365,6.44,3.19,0.625,0.311
2366,6.44,3.19,0.539,0.302
2367,6.44,3.19,0.4,0.305
2368,6.45,3.19,0.216,0.33
2369,5.93,3.03,0.063,0.376
2370,5.93,3.03,0,0.53
2371,5.93,3.03,0,0.644
2372,5.93,3.03,0,0.639
2373,5.93,3.03,0,0.596
2374,5.93,3.02,0,0.55
2375,5.35,2.83,0,0.504
2376,5.35,2.83,0,0.431
2377,5.35,2.83,0,0.381
2378,5.35,2.83,0,0.29
2379,5.36,2.84,0,0.22
2380,5.36,2.83,0,0.201
2381,5.36,2.84,0,0.223
2382,5.36,2.84,0.02,0.251
2383,5.36,2.84,0.05,0.264
2384,5.36,2.83,0.086,0.256
2385,5.36,2.83,0.119,0.251
2386,5.35,2.83,0.142,0.254
2387,6.44,3.19,0.179,0.267
2388,6.44,3.19,0.226,0.278
2389,6.44,3.19,0.242,0.278
2390,6.44,3.2,0.209,0.272
2391,6.44,3.2,0.143,0.278
2392,6.44,3.2,0.073,0.316
2393,5.95,3.03,0.022,0.396
2394,5.95,3.03,0,0.54
2395,5.95,3.03,0,0.619
2396,5.95,3.03,0,0.654
2397,5.94,3.03,0,0.674
2398,5.94,3.03,0,0.631
2399,5.16,2.77,0,0.583
2400,5.16,2.77,0,0.583
2401,5.16,2.77,0,0.623
2402,5.16,2.77,0,0.666
2403,5.16,2.77,0,0.727
2404,5.16,2.77,0,0.74
2405,5.41,2.85,0.002,0.734
2406,5.41,2.85,0.049,0.756
2407,5.41,2.85,0.135,0.778
2408,5.4,2.85,0.24,0.794
2409,5.4,2.85,0.341,0.806
2410,5.4,2.85,0.382,0.814
2411,6.69,3.32,0.397,0.823
2412,6.69,3.32,0.358,0.832
2413,6.69,3.32,0.308,0.837
2414,6.69,3.32,0.227,0.837
2415,6.69,3.32,0.148,0.829
2416,6.69,3.32,0.072,0.799
2417,6.41,3.19,0.023,0.741
2418,6.42,3.19,0,0.739
2419,6.42,3.19,0,0.739
2420,6.41,3.19,0,0.744
2421,6.41,3.19,0,0.763
2422,6.4,3.19,0,0.752
2423,5.98,3.03,0,0.72
2424,5.98,3.03,0,0.689
2425,5.98,3.03,0,0.672
2426,5.98,3.04,0,0.655
2427,6,3.04,0,0.659
2428,6,3.05,0,0.659
2429,6.04,3.06,0.002,0.661
2430,6.03,3.06,0.054,0.676
2431,6.03,3.05,0.171,0.741
2432,6.02,3.05,0.317,0.762
2433,6.02,3.05,0.443,0.75
2434,6.01,3.05,0.503,0.729
2435,6.43,3.2,0.503,0.708
2436,6.42,3.2,0.505,0.692
2437,6.42,3.2,0.449,0.679
2438,6.42,3.2,0.352,0.674
2439,6.42,3.2,0.242,0.682
2440,6.42,3.2,0.135,0.692
2441,5.77,2.97,0.049,0.685
2442,5.78,2.98,0.001,0.671
2443,5.78,2.98,0,0.682
2444,5.78,2.98,0,0.672
2445,5.78,2.98,0,0.633
2446,5.76,2.97,0,0.587
2447,5.41,2.85,0,0.571
2448,5.42,2.85,0,0.557
2449,5.42,2.86,0,0.548
2450,5.42,2.86,0,0.501
2451,5.44,2.86,0,0.47
2452,5.44,2.87,0,0.47
2453,5.62,2.92,0.003,0.449
2454,5.62,2.92,0.055,0.475
2455,5.62,2.92,0.149,0.539
2456,5.61,2.92,0.253,0.546
2457,5.6,2.91,0.336,0.532
2458,5.6,2.91,0.37,0.505
2459,6.68,3.3,0.382,0.478
2460,6.68,3.3,0.361,0.451
2461,6.68,3.3,0.33,0.429
2462,6.68,3.3,0.283,0.413
2463,6.68,3.3,0.217,0.402
2464,6.68,3.3,0.133,0.409
2465,6.19,3.11,0.048,0.41
2466,6.19,3.12,0.001,0.347
2467,6.19,3.12,0,0.352
2468,6.2,3.12,0,0.351
2469,6.19,3.12,0,0.332
2470,6.18,3.11,0,0.316
2471,5.28,2.8,0,0.309
2472,5.28,2.81,0,0.294
2473,5.28,2.81,0,0.291
2474,5.29,2.81,0,0.268
2475,5.31,2.82,0,0.252
2476,5.31,2.82,0,0.249
2477,5.57,2.91,0.001,0.228
2478,5.58,2.91,0.029,0.198
2479,5.57,2.91,0.07,0.185
2480,5.56,2.91,0.11,0.177
2481,5.56,2.91,0.144,0.159
2482,5.56,2.9,0.163,0.147
2483,6.97,3.47,0.202,0.142
2484,6.97,3.47,0.208,0.135
2485,6.97,3.47,0.208,0.121
2486,6.97,3.47,0.178,0.102
2487,6.97,3.47,0.14,0.084
2488,6.97,3.47,0.093,0.074
2489,6.71,3.3,0.036,0.085
2490,6.72,3.3,0,0.175
2491,6.72,3.3,0,0.302
2492,6.72,3.31,0,0.391
2493,6.72,3.3,0,0.403
2494,6.71,3.3,0,0.361
2495,5.58,2.92,0,0.309
2496,5.58,2.91,0,0.263
2497,5.58,2.92,0,0.225
2498,5.58,2.92,0,0.164
2499,5.59,2.92,0,0.163
2500,5.6,2.92,0,0.248
2501,5.77,2.98,0.008,0.319
2502,5.77,2.98,0.102,0.22
2503,5.77,2.98,0.306,0.158
2504,5.76,2.98,0.504,0.16
2505,5.76,2.98,0.646,0.203
2506,5.76,2.98,0.736,0.235
2507,7.09,3.65,0.778,0.259
2508,7.09,3.65,0.773,0.277
2509,7.09,3.65,0.718,0.29
2510,7.09,3.65,0.619,0.302
2511,7.09,3.65,0.473,0.316
2512,7.09,3.65,0.287,0.339
2513,6.85,3.39,0.095,0.363
2514,6.85,3.39,0.003,0.464
2515,6.85,3.39,0,0.526
2516,6.86,3.39,0,0.501
2517,6.85,3.39,0,0.432
2518,6.85,3.39,0,0.384
2519,5.9,3.02,0,0.334
2520,5.89,3.02,0,0.251
2521,5.9,3.02,0,0.152
2522,5.9,3.02,0,0.082
2523,5.91,3.03,0,0.044
2524,5.91,3.03,0,0.024
2525,6.1,3.1,0.008,0.017
2526,6.09,3.09,0.135,0.009
2527,6.09,3.09,0.341,0.015
2528,6.09,3.09,0.523,0.055
2529,6.08,3.09,0.657,0.073
2530,6.08,3.09,0.742,0.089
2531,7.05,3.58,0.779,0.103
2532,7.05,3.58,0.771,0.107
2533,7.05,3.58,0.717,0.102
2534,7.05,3.58,0.617,0.093
2535,7.05,3.58,0.471,0.095
2536,7.05,3.58,0.286,0.094
2537,6.76,3.36,0.095,0.115
2538,6.77,3.36,0.004,0.162
2539,6.77,3.36,0,0.192
2540,6.77,3.37,0,0.236
2541,6.77,3.36,0,0.295
2542,6.76,3.36,0,0.352
2543,6.02,3.07,0,0.379
2544,6.01,3.06,0,0.369
2545,6.02,3.07,0,0.358
2546,6.02,3.07,0,0.346
2547,6.03,3.07,0,0.379
2548,6.03,3.07,0,0.428
2549,6.2,3.13,0.01,0.444
2550,6.19,3.12,0.136,0.296
2551,6.19,3.12,0.333,0.323
2552,6.19,3.12,0.505,0.432
2553,6.18,3.12,0.621,0.45
2554,6.18,3.12,0.688,0.398
2555,7.14,3.67,0.689,0.326
2556,7.14,3.67,0.671,0.269
2557,7.14,3.67,0.598,0.229
2558,7.14,3.67,0.536,0.212
2559,7.14,3.67,0.41,0.22
2560,7.14,3.67,0.232,0.245
2561,6.94,3.47,0.066,0.251
2562,6.94,3.48,0.003,0.294
2563,6.94,3.48,0,0.361
2564,6.94,3.48,0,0.387
2565,6.94,3.48,0,0.362
2566,6.94,3.47,0,0.31
2567,5.89,3.01,0,0.253
2568,5.88,3.01,0,0.188
2569,5.89,3.01,0,0.153
2570,5.9,3.01,0,0.13
2571,5.92,3.02,0,0.084
2572,5.92,3.03,0,0.039
2573,6.15,3.1,0.01,0.023
2574,6.15,3.1,0.132,0.022
2575,6.14,3.1,0.328,0.03
2576,6.14,3.1,0.504,0.092
2577,6.13,3.09,0.638,0.129
2578,6.12,3.09,0.723,0.137
2579,7.32,3.87,0.758,0.136
2580,7.32,3.87,0.742,0.141
2581,7.32,3.87,0.682,0.144
2582,7.32,3.87,0.582,0.141
2583,7.32,3.87,0.443,0.134
2584,7.32,3.87,0.274,0.125
2585,7.09,3.58,0.096,0.104
2586,7.09,3.59,0.005,0.077
2587,7.09,3.59,0,0.05
2588,7.09,3.59,0,0.028
2589,7.09,3.59,0,0.017
2590,7.09,3.59,0,0.011
2591,6.49,3.24,0,0.011
2592,6.48,3.23,0,0.018
2593,6.49,3.24,0,0.031
2594,6.49,3.24,0,0.045
2595,6.5,3.24,0,0.056
2596,6.5,3.24,0,0.064
2597,6.35,3.18,0.01,0.081
2598,6.34,3.18,0.138,0.076
2599,6.34,3.18,0.335,0.039
2600,6.34,3.18,0.509,0.022
2601,6.33,3.17,0.638,0.032
2602,6.32,3.17,0.721,0.045
2603,6.5,3.25,0.76,0.064
2604,6.5,3.26,0.755,0.092
2605,6.5,3.25,0.706,0.128
2606,6.5,3.26,0.611,0.174
2607,6.5,3.26,0.471,0.229
2608,6.5,3.25,0.291,0.302
2609,6.01,3.06,0.101,0.367
2610,6.02,3.06,0.006,0.502
2611,6.02,3.06,0,0.602
2612,6.03,3.07,0,0.618
2613,6.03,3.07,0,0.56
2614,6,3.05,0,0.454
2615,5.65,2.93,0,0.337
2616,5.65,2.93,0,0.228
2617,5.66,2.94,0,0.119
2618,5.66,2.94,0,0.06
2619,5.69,2.95,0,0.03
2620,5.7,2.96,0,0.014
2621,5.67,2.95,0.012,0.006
2622,5.67,2.95,0.146,0.005
2623,5.67,2.95,0.349,0
2624,5.66,2.95,0.524,0.002
2625,5.64,2.94,0.654,0.011
2626,5.64,2.94,0.736,0.026
2627,6.3,3.18,0.773,0.03
2628,6.3,3.18,0.765,0.027
2629,6.29,3.17,0.713,0.022
2630,6.29,3.18,0.617,0.018
2631,6.29,3.18,0.475,0.015
2632,6.3,3.18,0.294,0.014
2633,6.21,3.14,0.103,0.016
2634,6.22,3.15,0.006,0.014
2635,6.22,3.15,0,0.012
2636,6.23,3.15,0,0.017
2637,6.22,3.15,0,0.032
2638,6.2,3.14,0,0.068
2639,5.73,2.99,0,0.108
2640,5.73,2.99,0,0.129
2641,5.73,2.99,0,0.134
2642,5.74,2.99,0,0.155
2643,5.76,3,0,0.186
2644,5.77,3.01,0,0.189
2645,5.83,3.03,0.015,0.159
2646,5.83,3.03,0.142,0.09
2647,5.83,3.03,0.34,0.033
2648,5.82,3.02,0.512,0.049
2649,5.82,3.02,0.641,0.052
2650,5.82,3.02,0.724,0.052
2651,6.88,3.48,0.761,0.06
2652,6.87,3.48,0.755,0.067
2653,6.87,3.48,0.706,0.063
2654,6.87,3.48,0.612,0.055
2655,6.88,3.48,0.473,0.052
2656,6.87,3.48,0.294,0.056
2657,6.52,3.29,0.105,0.084
2658,6.53,3.3,0.007,0.149
2659,6.54,3.3,0,0.195
2660,6.54,3.3,0,0.183
2661,6.53,3.3,0,0.131
2662,6.5,3.28,0,0.081
2663,5.89,3.05,0,0.047
2664,5.88,3.04,0,0.027
2665,5.89,3.05,0,0.021
2666,5.89,3.05,0,0.026
2667,5.91,3.06,0,0.045
2668,5.91,3.05,0,0.082
2669,6.01,3.09,0.016,0.116
2670,6.01,3.09,0.143,0.081
2671,6.01,3.09,0.338,0.045
2672,6,3.08,0.508,0.117
2673,5.99,3.08,0.634,0.147
2674,5.99,3.07,0.718,0.145
2675,6.58,3.31,0.754,0.144
2676,6.59,3.31,0.747,0.156
2677,6.58,3.31,0.696,0.193
2678,6.59,3.31,0.6,0.266
2679,6.59,3.31,0.459,0.402
2680,6.59,3.31,0.281,0.622
2681,6.36,3.22,0.097,0.826
2682,6.37,3.22,0.008,0.899
2683,6.37,3.22,0,0.866
2684,6.38,3.23,0,0.803
2685,6.37,3.22,0,0.77
2686,6.35,3.21,0,0.664
2687,6.05,3.1,0,0.578
2688,6.04,3.09,0,0.57
2689,6.05,3.1,0,0.615
2690,6.05,3.1,0,0.661
2691,6.06,3.1,0,0.676
2692,6.06,3.1,0,0.668
2693,6.05,3.1,0.019,0.646
2694,6.05,3.1,0.115,0.773
2695,6.05,3.1,0.246,0.853
2696,6.04,3.1,0.407,0.861
2697,6.04,3.1,0.512,0.882
2698,6.03,3.09,0.462,0.896
2699,6.89,3.45,0.296,0.898
2700,6.89,3.45,0.183,0.886
2701,6.89,3.45,0.158,0.874
2702,6.89,3.45,0.154,0.87
2703,6.89,3.45,0.109,0.863
2704,6.89,3.45,0.062,0.833
2705,6.67,3.34,0.025,0.774
2706,6.68,3.34,0.001,0.757
2707,6.68,3.34,0,0.759
2708,6.68,3.35,0,0.776
2709,6.68,3.35,0,0.791
2710,6.66,3.34,0,0.769
2711,5.66,2.97,0,0.744
2712,5.65,2.97,0,0.711
2713,5.66,2.97,0,0.666
2714,5.67,2.97,0,0.635
2715,5.68,2.98,0,0.608
2716,5.69,2.98,0,0.599
2717,5.94,3.07,0.011,0.608
2718,5.93,3.07,0.081,0.654
2719,5.93,3.06,0.199,0.768
2720,5.93,3.06,0.358,0.85
2721,5.92,3.06,0.53,0.896
2722,5.91,3.05,0.657,0.912
2723,7.18,3.72,0.711,0.913
2724,7.18,3.72,0.696,0.907
2725,7.18,3.72,0.638,0.902
2726,7.18,3.71,0.547,0.903
2727,7.18,3.72,0.418,0.905
2728,7.18,3.71,0.261,0.912
2729,7,3.53,0.099,0.903
2730,7.01,3.54,0.011,0.887
2731,7.01,3.54,0,0.87
2732,7.01,3.54,0,0.819
2733,7.01,3.54,0,0.772
2734,7,3.53,0,0.744
2735,5.83,3.03,0,0.7
2736,5.82,3.03,0,0.646
2737,5.82,3.03,0,0.578
2738,5.84,3.04,0,0.532
2739,5.85,3.04,0,0.498
2740,5.85,3.05,0,0.432
2741,6.19,3.16,0.019,0.329
2742,6.18,3.16,0.14,0.148
2743,6.17,3.15,0.325,0.083
2744,6.17,3.16,0.491,0.028
2745,6.16,3.15,0.615,0.018
2746,6.15,3.14,0.701,0.05
2747,7.3,3.86,0.735,0.087
2748,7.3,3.86,0.727,0.134
2749,7.3,3.86,0.681,0.193
2750,7.3,3.85,0.59,0.265
2751,7.3,3.85,0.456,0.341
2752,7.3,3.85,0.285,0.42
2753,7.09,3.62,0.105,0.512
2754,7.09,3.62,0.011,0.658
2755,7.09,3.62,0,0.736
2756,7.09,3.63,0,0.718
2757,7.09,3.63,0,0.713
2758,7.09,3.62,0,0.658
2759,6.02,3.1,0,0.543
2760,6.02,3.09,0,0.457
2761,6.01,3.09,0,0.391
2762,6.04,3.11,0,0.344
2763,6.06,3.12,0,0.328
2764,6.06,3.12,0,0.329
2765,6.42,3.25,0.022,0.315
2766,6.42,3.25,0.13,0.207
2767,6.42,3.25,0.266,0.157
2768,6.42,3.25,0.374,0.313
2769,6.41,3.24,0.474,0.376
2770,6.4,3.24,0.566,0.442
2771,7.4,3.89,0.644,0.53
2772,7.4,3.89,0.646,0.602
2773,7.4,3.88,0.598,0.635
2774,7.4,3.88,0.513,0.607
2775,7.4,3.88,0.384,0.536
2776,7.4,3.88,0.206,0.516
2777,7.17,3.63,0.077,0.4
2778,7.17,3.64,0.009,0.342
2779,7.17,3.64,0,0.447
2780,7.17,3.65,0,0.702
2781,7.17,3.65,0,0.813
2782,7.17,3.64,0,0.795
2783,6.68,3.32,0,0.74
2784,6.68,3.32,0,0.692
2785,6.7,3.35,0,0.648
2786,6.7,3.35,0,0.644
2787,6.72,3.37,0,0.637
2788,6.73,3.38,0,0.622
2789,6.6,3.32,0.023,0.574
2790,6.59,3.31,0.139,0.698
2791,6.6,3.32,0.325,0.756
2792,6.6,3.33,0.492,0.642
2793,6.58,3.31,0.437,0.558
2794,6.59,3.31,0.472,0.523
2795,7.17,3.6,0.607,0.498
2796,7.17,3.61,0.696,0.468
2797,7.17,3.57,0.641,0.46
2798,7.17,3.57,0.518,0.464
2799,7.17,3.58,0.354,0.488
2800,7.17,3.59,0.184,0.535
2801,6.7,3.36,0.063,0.532
2802,6.72,3.38,0.011,0.441
2803,6.72,3.38,0,0.4
2804,6.73,3.38,0,0.413
2805,6.73,3.38,0,0.447
2806,6.72,3.38,0,0.501
2807,6.27,3.18,0,0.556
2808,6.24,3.16,0,0.586
2809,6.26,3.18,0,0.609
2810,6.26,3.17,0,0.652
2811,6.3,3.2,0,0.678
2812,6.33,3.22,0,0.737
2813,6.25,3.2,0.023,0.701
2814,6.24,3.19,0.154,0.801
2815,6.24,3.19,0.34,0.862
2816,6.24,3.19,0.513,0.848
2817,6.23,3.18,0.635,0.809
2818,6.22,3.18,0.713,0.762
2819,6.91,3.48,0.735,0.712
2820,6.91,3.48,0.704,0.666
2821,6.9,3.48,0.649,0.613
2822,6.9,3.48,0.552,0.556
2823,6.9,3.48,0.424,0.503
2824,6.9,3.48,0.27,0.486
2825,6.59,3.33,0.102,0.479
2826,6.6,3.33,0.016,0.442
2827,6.6,3.34,0,0.466
2828,6.61,3.34,0,0.464
2829,6.6,3.34,0,0.444
2830,6.6,3.33,0,0.422
2831,6.04,3.14,0,0.436
2832,6.03,3.13,0,0.457
2833,6.03,3.13,0,0.467
2834,6.04,3.14,0,0.467
2835,6.05,3.15,0,0.479
2836,6.06,3.15,0,0.486
2837,6.33,3.24,0.009,0.494
2838,6.32,3.24,0.045,0.516
2839,6.32,3.24,0.093,0.652
2840,6.32,3.24,0.138,0.702
2841,6.31,3.23,0.199,0.718
2842,6.31,3.23,0.282,0.718
2843,6.89,3.49,0.296,0.724
2844,6.9,3.49,0.278,0.731
2845,6.89,3.49,0.232,0.741
2846,6.89,3.48,0.182,0.737
2847,6.89,3.48,0.123,0.702
2848,6.89,3.48,0.085,0.654
2849,6.67,3.38,0.037,0.589
2850,6.68,3.39,0.004,0.538
2851,6.68,3.39,0,0.552
2852,6.69,3.4,0,0.556
2853,6.69,3.4,0,0.583
2854,6.67,3.39,0,0.583
2855,6.18,3.19,0,0.604
2856,6.17,3.18,0,0.677
2857,6.17,3.18,0,0.658
2858,6.19,3.19,0,0.613
2859,6.2,3.2,0,0.586
2860,6.2,3.2,0,0.535
2861,6.39,3.28,0.004,0.491
2862,6.38,3.27,0.036,0.402
2863,6.38,3.27,0.095,0.354
2864,6.38,3.27,0.15,0.366
2865,6.37,3.27,0.229,0.403
2866,6.36,3.26,0.247,0.463
2867,7.19,3.7,0.227,0.531
2868,7.2,3.7,0.225,0.591
2869,7.19,3.7,0.213,0.671
2870,7.19,3.69,0.2,0.7
2871,7.19,3.7,0.158,0.686
2872,7.19,3.69,0.109,0.648
2873,7.01,3.57,0.052,0.647
2874,7.02,3.58,0.008,0.687
2875,7.02,3.58,0,0.737
2876,7.02,3.59,0,0.724
2877,7.02,3.59,0,0.72
2878,7.01,3.57,0,0.727
2879,6.34,3.26,0,0.736
2880,6.33,3.25,0,0.762
2881,6.33,3.25,0,0.772
2882,6.35,3.26,0,0.783
2883,6.37,3.27,0,0.774
2884,6.37,3.27,0,0.744
2885,6.5,3.33,0.028,0.679
2886,6.5,3.32,0.158,0.566
2887,6.5,3.32,0.349,0.678
2888,6.5,3.33,0.518,0.762
2889,6.49,3.32,0.645,0.765
2890,6.48,3.31,0.727,0.739
2891,7.24,3.81,0.765,0.712
2892,7.24,3.81,0.757,0.694
2893,7.24,3.81,0.698,0.686
2894,7.24,3.8,0.561,0.714
2895,7.24,3.81,0.383,0.755
2896,7.24,3.8,0.189,0.757
2897,7.08,3.65,0.082,0.695
2898,7.08,3.65,0.017,0.586
2899,7.08,3.66,0,0.542
2900,7.09,3.66,0,0.525
2901,7.08,3.66,0,0.501
2902,7.08,3.65,0,0.513
2903,6.59,3.38,0,0.555
2904,6.58,3.37,0,0.591
2905,6.58,3.37,0,0.598
2906,6.6,3.38,0,0.583
2907,6.61,3.39,0,0.564
2908,6.61,3.39,0,0.538
2909,6.65,3.41,0.028,0.46
2910,6.64,3.41,0.145,0.278
2911,6.64,3.41,0.321,0.299
2912,6.64,3.41,0.486,0.385
2913,6.63,3.4,0.613,0.386
2914,6.62,3.39,0.685,0.39
2915,7.04,3.64,0.725,0.395
2916,7.04,3.64,0.726,0.41
2917,7.04,3.64,0.684,0.421
2918,7.04,3.64,0.598,0.413
2919,7.04,3.64,0.466,0.381
2920,7.04,3.63,0.297,0.341
2921,6.74,3.45,0.118,0.259
2922,6.75,3.46,0.02,0.208
2923,6.75,3.46,0,0.151
2924,6.75,3.47,0,0.102
2925,6.75,3.47,0,0.106
2926,6.74,3.46,0,0.175
2927,6.45,3.33,0,0.309
2928,6.45,3.33,0,0.466
2929,6.45,3.32,0,0.55
2930,6.46,3.34,0,0.566
2931,6.48,3.35,0,0.538
2932,6.49,3.35,0,0.517
2933,6.51,3.37,0.02,0.498
2934,6.51,3.37,0.088,0.507
2935,6.5,3.36,0.178,0.571
2936,6.5,3.36,0.256,0.556
2937,6.5,3.36,0.309,0.505
2938,6.48,3.35,0.306,0.455
2939,7.04,3.67,0.264,0.413
2940,7.04,3.67,0.406,0.356
2941,7.04,3.67,0.448,0.305
2942,7.04,3.67,0.354,0.276
2943,7.04,3.67,0.275,0.241
2944,7.04,3.66,0.169,0.196
2945,6.67,3.45,0.072,0.133
2946,6.68,3.45,0.015,0.101
2947,6.68,3.46,0,0.102
2948,6.69,3.46,0,0.11
2949,6.68,3.46,0,0.122
2950,6.67,3.45,0,0.138
2951,6.2,3.25,0,0.145
2952,6.19,3.25,0,0.144
2953,6.21,3.26,0,0.129
2954,6.21,3.26,0,0.099
2955,6.23,3.27,0,0.063
2956,6.24,3.28,0,0.036
2957,6.33,3.31,0.029,0.016
2958,6.33,3.31,0.103,0.003
2959,6.33,3.31,0.175,0.002
2960,6.33,3.31,0.228,0.006
2961,6.32,3.3,0.267,0.023
2962,6.32,3.3,0.343,0.053
2963,6.98,3.66,0.4,0.084
2964,6.98,3.66,0.422,0.101
2965,6.98,3.64,0.367,0.091
2966,6.98,3.64,0.313,0.065
2967,6.98,3.64,0.208,0.045
2968,6.98,3.65,0.144,0.038
2969,6.68,3.47,0.072,0.042
2970,6.69,3.48,0.013,0.039
2971,6.69,3.48,0,0.023
2972,6.69,3.48,0,0.051
2973,6.69,3.48,0,0.194
2974,6.68,3.47,0,0.349
2975,6.23,3.27,0,0.525
2976,6.21,3.26,0,0.666
2977,6.23,3.27,0,0.723
2978,6.23,3.27,0,0.748
2979,6.26,3.29,0,0.773
2980,6.28,3.3,0,0.793
2981,6.32,3.32,0.011,0.808
2982,6.32,3.32,0.058,0.835
2983,6.31,3.32,0.145,0.873
2984,6.31,3.32,0.261,0.898
2985,6.3,3.31,0.375,0.903
2986,6.3,3.31,0.432,0.902
2987,7.02,3.69,0.423,0.9
2988,7.02,3.69,0.356,0.897
2989,7.02,3.69,0.271,0.889
2990,7.02,3.68,0.186,0.873
2991,7.02,3.68,0.12,0.845
2992,7.02,3.68,0.073,0.781
2993,6.84,3.56,0.037,0.693
2994,6.84,3.56,0.007,0.685
2995,6.84,3.56,0,0.728
2996,6.84,3.57,0,0.752
2997,6.84,3.56,0,0.763
2998,6.84,3.56,0,0.775
2999,6.3,3.31,0,0.785
3000,6.29,3.3,0,0.782
3001,6.29,3.3,0,0.779
3002,6.3,3.31,0,0.769
3003,6.32,3.32,0,0.762
3004,6.32,3.32,0,0.746
3005,6.46,3.38,0.015,0.739
3006,6.45,3.38,0.08,0.739
3007,6.45,3.38,0.193,0.776
3008,6.45,3.38,0.306,0.841
3009,6.44,3.37,0.376,0.878
3010,6.43,3.36,0.396,0.887
3011,7.03,3.67,0.36,0.87
3012,7.04,3.68,0.335,0.853
3013,7.03,3.67,0.304,0.837
3014,7.03,3.67,0.259,0.829
3015,7.03,3.67,0.198,0.826
3016,7.03,3.67,0.126,0.82
3017,6.84,3.57,0.061,0.811
3018,6.84,3.57,0.014,0.79
3019,6.84,3.57,0,0.759
3020,6.85,3.58,0,0.688
3021,6.84,3.58,0,0.658
3022,6.84,3.57,0,0.655
3023,6.5,3.39,0,0.645
3024,6.49,3.38,0,0.63
3025,6.49,3.38,0,0.621
3026,6.5,3.39,0,0.603
3027,6.51,3.4,0,0.566
3028,6.52,3.4,0,0.538
3029,6.61,3.45,0.031,0.45
3030,6.61,3.44,0.174,0.316
3031,6.6,3.44,0.362,0.456
3032,6.6,3.44,0.521,0.487
3033,6.6,3.43,0.64,0.459
3034,6.59,3.43,0.736,0.394
3035,7.02,3.67,0.77,0.312
3036,7.02,3.67,0.763,0.239
3037,7.02,3.67,0.72,0.178
3038,7.02,3.66,0.616,0.14
3039,7.02,3.67,0.457,0.115
3040,7.02,3.66,0.262,0.088
3041,6.77,3.53,0.092,0.058
3042,6.78,3.54,0.02,0.032
3043,6.78,3.54,0,0.026
3044,6.78,3.55,0,0.041
3045,6.78,3.55,0,0.061
3046,6.77,3.53,0,0.1
3047,6.47,3.38,0,0.141
3048,6.46,3.38,0,0.21
3049,6.46,3.38,0,0.277
3050,6.48,3.39,0,0.308
3051,6.48,3.4,0,0.328
3052,6.48,3.4,0,0.37
3053,6.54,3.43,0.03,0.394
3054,6.53,3.42,0.174,0.278
3055,6.54,3.42,0.345,0.574
3056,6.54,3.43,0.477,0.684
3057,6.53,3.42,0.603,0.698
3058,6.52,3.41,0.73,0.697
3059,7.16,3.86,0.756,0.695
3060,7.16,3.86,0.683,0.72
3061,7.16,3.86,0.646,0.76
3062,7.16,3.86,0.609,0.8
3063,7.16,3.86,0.469,0.84
3064,7.16,3.85,0.262,0.863
3065,7.06,3.73,0.113,0.842
3066,7.06,3.73,0.021,0.842
3067,7.06,3.73,0,0.854
3068,7.06,3.74,0,0.804
3069,7.06,3.74,0,0.725
3070,7.06,3.73,0,0.654
3071,6.38,3.36,0,0.669
3072,6.37,3.36,0,0.592
