ex07_plant_wind_availability_factor,ex07_demand1_value,ex07_demand2_value,ex08_pv,ex08_demand,ex15_cop,ex15_cop_minconversion,ex15_heatdemand,ex17_capacity
0.59,2.28,4.6,,,1.98,1.386,77,
0.74,4.34,4.74,,,1.98,1.386,74,
0.14,2.35,0.83,,,1.98,1.386,73,
0.44,2.84,3.77,,,1.98,1.386,70,
0.6,1.87,4.8,,,1.98,1.386,67,
0.17,1.39,4.83,,,1.98,1.386,65,
0.44,2.07,2.6,,,2.3,1.61,63,
0.69,3.02,0.01,,,2.3,1.61,62,
0.89,1.59,4.7,,,2.3,1.61,62,
1,3.04,2.4,,,2.3,1.61,64,
0.15,0.36,4.99,,,2.3,1.61,66,
1,3.92,4.68,,,2.3,1.61,67,
0.85,0.67,0.87,,,2.22,1.554,67,
0.25,4.27,3.42,,,2.22,1.554,66,
0.79,4.21,0.76,,,2.22,1.554,64,
0.95,4.54,0.65,,,2.22,1.554,58,
0.85,2.33,4.85,,,2.22,1.554,48,
0.46,0.03,3.26,,,2.22,1.554,41,
0.03,2.66,3.12,,,2.11,1.477,38,
0.4,2.23,0.09,,,2.11,1.477,39,
0.19,2.98,3.72,,,2.11,1.477,40,
0.5,4.56,1.42,,,2.11,1.477,42,
0.73,2.61,0.83,,,2.11,1.477,48,
0.33,3.18,3.38,,,2.11,1.477,63,
0.72,1.83,1.02,,,2.07,1.449,77,
0.08,3.61,2.38,,,2.07,1.449,74,
0.79,2.13,1.04,,,2.07,1.449,73,
0.03,1.25,2.15,,,2.07,1.449,70,
0.09,1.95,0.56,,,2.07,1.449,67,
0.35,2.22,0.39,,,2.07,1.449,64,
0.65,0.08,4.57,,,2.44,1.708,63,
0.37,4.5,4.86,,,2.44,1.708,62,
0.4,2.05,1.02,,,2.44,1.708,62,
0.58,3.5,1.54,,,2.44,1.708,63,
0.92,1.43,0.37,,,2.44,1.708,66,
0.59,4.94,2.23,,,2.44,1.708,67,
0.49,1.3,3.75,,,2.35,1.645,67,
0.94,4.97,0.51,,,2.35,1.645,66,
0.92,0.7,1.26,,,2.35,1.645,64,
0.18,4.1,3.64,,,2.35,1.645,58,
0.71,3.42,2.33,,,2.35,1.645,48,
0.73,4.51,2.44,,,2.35,1.645,40,
0.51,4.89,2.41,,,2.28,1.596,33,
0.29,0.04,1.16,,,2.28,1.596,34,
0.23,3.7,2.93,,,2.28,1.596,35,
0.44,0.34,1.81,,,2.28,1.596,37,
0.74,0.33,1.92,,,2.28,1.596,43,
0.91,1.56,2.43,,,2.28,1.596,59,
0.34,4.95,3.3,,,2.27,1.589,69,
0.26,4.84,0.63,,,2.27,1.589,66,
0.35,4.06,2.37,,,2.27,1.589,65,
0.54,3.58,0.43,,,2.27,1.589,62,
0.24,2.95,4.11,,,2.27,1.589,59,
0.48,4.58,1.84,,,2.27,1.589,58,
0.25,3.47,1.99,,,2.41,1.687,56,
0.72,1.08,0.93,,,2.41,1.687,55,
0.98,1.34,2.62,,,2.41,1.687,54,
0.21,5,0.4,,,2.41,1.687,55,
0.95,3.05,3.88,,,2.41,1.687,58,
0.47,4.68,4.12,,,2.41,1.687,60,
0.59,4.49,2.13,,,2.37,1.659,60,
0.23,0.32,0.21,,,2.37,1.659,59,
0.57,1.08,4.79,,,2.37,1.659,58,
0.27,4.19,0.07,,,2.37,1.659,53,
0.42,4.11,3.55,,,2.37,1.659,43,
0.54,4.2,0.2,,,2.37,1.659,36,
0.21,1.54,3.4,,,2.26,1.582,31,
0.9,0.05,3.92,,,2.26,1.582,32,
0.89,2.43,2.64,,,2.26,1.582,32,
0.87,0.89,4.39,,,2.26,1.582,35,
0.21,0.66,1.06,,,2.26,1.582,42,
0.23,0.82,1.6,,,2.26,1.582,57,
0,4.84,2.47,,,2.18,1.526,63,
0.67,3.14,0.02,,,2.18,1.526,60,
0.12,2.8,0.59,,,2.18,1.526,58,
0.36,4.86,1.61,,,2.18,1.526,56,
0.29,2.17,4.48,,,2.18,1.526,53,
0.88,2.21,3.83,,,2.18,1.526,51,
0.73,2.12,2.84,,,2.58,1.806,50,
0.22,0.84,1.78,,,2.58,1.806,49,
0.89,4.2,4.03,,,2.58,1.806,50,
0.47,4.19,2.51,,,2.58,1.806,51,
0.58,1.25,0.53,,,2.58,1.806,53,
0.71,3.48,0.17,,,2.58,1.806,56,
0.44,0.17,2.18,,,2.46,1.722,56,
0.84,0.15,2,,,2.46,1.722,56,
0.87,2.21,1.53,,,2.46,1.722,55,
0.07,3.47,0.93,,,2.46,1.722,50,
0.24,2.63,0.91,,,2.46,1.722,40,
0.08,1.2,2.1,,,2.46,1.722,33,
0.76,2.01,4.05,,,2.28,1.596,27,
0.27,0.08,3.01,,,2.28,1.596,28,
0.49,2.4,4.55,,,2.28,1.596,29,
0.79,1.71,4.83,,,2.28,1.596,32,
0.89,2.09,0.74,,,2.28,1.596,37,
0.67,4.81,0.91,,,2.28,1.596,50,
0.3,3.48,1.8,,,2.23,1.561,59,
0.98,1,2.19,,,2.23,1.561,57,
0.3,4.43,1.02,,,2.23,1.561,56,
0.94,2.95,3.78,,,2.23,1.561,54,
0.89,0.4,4.61,,,2.23,1.561,51,
0.26,2.52,4.02,,,2.23,1.561,49,
0.19,3.09,0.39,,,2.66,1.862,47,
0.08,4.76,3.28,,,2.66,1.862,47,
0.92,0.19,2.07,,,2.66,1.862,47,
0.53,4.25,1.4,,,2.66,1.862,48,
0.86,3.27,3.13,,,2.66,1.862,50,
0.24,1.36,1.12,,,2.66,1.862,52,
0.07,0.73,0.6,,,2.56,1.792,52,
0.38,1.86,3.99,,,2.56,1.792,52,
0.99,3.76,3.78,,,2.56,1.792,50,
0.02,0.59,0.51,,,2.56,1.792,45,
0.99,4.96,4.26,,,2.56,1.792,36,
0.01,4.35,3.46,,,2.56,1.792,29,
0.22,3.82,3.14,,,2.42,1.694,25,
0.97,0.19,3.82,,,2.42,1.694,26,
0.85,4.14,1.82,,,2.42,1.694,27,
0.42,0.81,3.77,,,2.42,1.694,29,
0.13,0.82,2.1,,,2.42,1.694,35,
0.83,1.45,2.31,,,2.42,1.694,47,
0.93,4.67,2.03,,,2.39,1.673,56,
0.24,3.11,0.81,,,2.39,1.673,55,
0.08,4.96,1.51,,,2.39,1.673,54,
0.2,2.12,1.43,,,2.39,1.673,50,
0.9,1.43,3.13,,,2.39,1.673,47,
0.82,2.65,0.98,,,2.39,1.673,45,
0.2,0.12,0.67,,,2.53,1.771,44,
0.29,4.52,4.85,,,2.53,1.771,44,
0.01,2.82,3.93,,,2.53,1.771,44,
0.61,1.23,2.94,,,2.53,1.771,45,
0.96,1.1,0.89,,,2.53,1.771,47,
0.35,0.92,0.06,,,2.53,1.771,48,
0.24,3.26,2.28,,,2.42,1.694,49,
0.85,3.9,1.11,,,2.42,1.694,49,
0.31,0.1,4.82,,,2.42,1.694,47,
0.77,0.31,4.16,,,2.42,1.694,43,
0.15,1.6,1.89,,,2.42,1.694,33,
0.01,2.1,0.17,,,2.42,1.694,27,
0.23,1.73,1.44,,,2.31,1.617,23,
0.45,2.68,3.32,,,2.31,1.617,24,
0.24,2.5,0.41,,,2.31,1.617,25,
0.32,2.84,4.28,,,2.31,1.617,27,
0.32,4.04,3.49,,,2.31,1.617,33,
0.41,1.79,1.71,,,2.31,1.617,44,
0.34,4.11,2.76,,,2.4,1.68,53,
0.54,0.85,0.67,,,2.4,1.68,52,
0.48,1.73,1.83,,,2.4,1.68,51,
0.04,2.81,1.82,,,2.4,1.68,47,
0.57,3.02,4.94,,,2.4,1.68,44,
0.12,1.76,3.6,,,2.4,1.68,42,
0.53,3.76,4.55,,,2.65,1.855,41,
0.85,4.77,0.76,,,2.65,1.855,41,
0.08,3.09,2.52,,,2.65,1.855,41,
0.11,1.84,4.09,,,2.65,1.855,42,
0.19,4.18,4.13,,,2.65,1.855,44,
0.53,2.26,0.3,,,2.65,1.855,45,
0.07,3.36,2.17,,,2.53,1.771,46,
0.44,1.31,4.47,,,2.53,1.771,46,
0.26,2.31,3.47,,,2.53,1.771,45,
0.03,0.61,1.51,,,2.53,1.771,40,
0.78,0.99,3.49,,,2.53,1.771,31,
0.62,1.45,4.72,,,2.53,1.771,25,
0.54,2.01,3.53,,,2.41,1.687,24,
0.34,2.38,3.56,,,2.41,1.687,25,
0.86,4.5,1.68,,,2.41,1.687,26,
0.95,2.36,1.04,,,2.41,1.687,29,
0.36,1.65,1.45,,,2.41,1.687,34,
0.14,3.39,1.46,,,2.41,1.687,46,
0.81,0.67,0.68,,,2.35,1.645,55,
0.52,0.09,0.78,,,2.35,1.645,53,
0.4,3.58,1.82,,,2.35,1.645,52,
0.24,1.58,3.6,,,2.35,1.645,49,
0.04,0.27,2.27,,,2.35,1.645,46,
0.29,1.26,0.61,,,2.35,1.645,44,
0.45,1.58,3.09,,,2.5,1.75,43,
0.71,4.44,3.94,,,2.5,1.75,43,
0.29,3.52,0.82,,,2.5,1.75,43,
0.12,2.41,3.79,,,2.5,1.75,44,
0.47,2,1.69,,,2.5,1.75,46,
0.44,1.83,3.85,,,2.5,1.75,47,
0.24,1.73,4.2,,,2.39,1.673,47,
0.81,3.42,1.22,,,2.39,1.673,47,
0.21,0.65,4.89,,,2.39,1.673,46,
0.3,1.86,1.13,,,2.39,1.673,42,
0.54,4.18,3.67,,,2.39,1.673,32,
0.29,1.46,0.02,,,2.39,1.673,26,
0.74,3.09,2.36,,,2.33,1.631,25,
0.31,4.13,1.22,,,2.33,1.631,26,
0.88,0.84,1.49,,,2.33,1.631,27,
0.03,2.53,0.48,,,2.33,1.631,29,
0.17,3.11,3.57,,,2.33,1.631,34,
0.98,3.32,3.72,,,2.33,1.631,46,
0.21,3.85,1.9,,,2.31,1.617,56,
0.11,1.91,1.32,,,2.31,1.617,55,
0.52,1.94,4.54,,,2.31,1.617,53,
0.79,0.78,2.44,,,2.31,1.617,51,
0.12,2.53,2,,,2.31,1.617,48,
0.41,3.53,1.55,,,2.31,1.617,46,
0.08,2.57,3.41,,,2.47,1.729,44,
0.16,3.21,1.44,,,2.47,1.729,44,
0.58,2.68,0.33,,,2.47,1.729,44,
0.45,1.04,4.84,,,2.47,1.729,45,
0.3,1.05,2.53,,,2.47,1.729,47,
0.47,1.59,4.84,,,2.47,1.729,48,
0.68,0.93,0.73,,,2.5,1.75,49,
0.68,3.75,4.6,,,2.5,1.75,49,
0.9,3.36,1.37,,,2.5,1.75,47,
0.33,3.63,1.93,,,2.5,1.75,43,
0.4,3.01,3.17,,,2.5,1.75,33,
0.75,2.22,0.64,,,2.5,1.75,27,
0.78,4.16,1.81,,,2.43,1.701,21,
0.62,3.18,2.96,,,2.43,1.701,22,
0.01,2.87,4.1,,,2.43,1.701,23,
0.19,4.83,2.9,,,2.43,1.701,25,
0.49,3.06,2.37,,,2.43,1.701,31,
0.91,2.15,0.23,,,2.43,1.701,43,
0.8,3.08,1.63,,,2.37,1.659,51,
0.15,1.31,0.35,,,2.37,1.659,49,
0.75,2.58,2.64,,,2.37,1.659,47,
0.28,0.33,1.39,,,2.37,1.659,44,
0.03,4.5,0.42,,,2.37,1.659,41,
0.09,4.5,1.18,,,2.37,1.659,40,
0.4,1.21,3.07,,,2.7,1.89,39,
0.06,1.49,0.82,,,2.7,1.89,37,
0.9,1.47,1.76,,,2.7,1.89,37,
0.88,0.3,4.75,,,2.7,1.89,38,
0.27,3.84,2.32,,,2.7,1.89,40,
0.57,1.46,4.34,,,2.7,1.89,42,
0.86,4.52,2.78,,,2.57,1.799,44,
0.98,1.32,1.14,,,2.57,1.799,43,
0.75,2.52,2.07,,,2.57,1.799,42,
0.5,2.44,3.49,,,2.57,1.799,38,
0.13,3.12,3.17,,,2.57,1.799,30,
0.3,1.66,4.6,,,2.57,1.799,24,
0.65,3.06,1.81,,,2.45,1.715,21,
0.27,0.63,4.04,,,2.45,1.715,23,
0.46,3.25,4.58,,,2.45,1.715,22,
0.94,2.28,2.68,,,2.45,1.715,25,
0.45,0.61,4.3,,,2.45,1.715,31,
0.51,2.79,0.65,,,2.45,1.715,44,
0.39,4.98,2.52,,,2.41,1.687,48,
0.45,4.41,0.14,,,2.41,1.687,46,
0.88,0.6,5,,,2.41,1.687,43,
0.67,1.43,2.99,,,2.41,1.687,41,
0.08,2.16,4.22,,,2.41,1.687,39,
0.56,3.23,1.31,,,2.41,1.687,38,
0.66,4.73,0.63,,,2.63,1.841,36,
0.01,2.07,1.68,,,2.63,1.841,36,
0.03,0.34,3.36,,,2.63,1.841,37,
0.13,0.33,4.7,,,2.63,1.841,37,
0.74,1.16,3.8,,,2.63,1.841,39,
0.61,1.49,0.38,,,2.63,1.841,42,
0.26,1.85,4.7,,,2.48,1.736,42,
0.21,4.49,0.54,,,2.48,1.736,43,
0.98,4.18,0.65,,,2.48,1.736,42,
0.94,3.37,4.24,,,2.48,1.736,38,
0.91,4.15,1.5,,,2.48,1.736,30,
0.93,2.23,2.99,,,2.48,1.736,24,
0.11,3.45,4.86,,,2.4,1.68,22,
0.74,2.96,2.42,,,2.4,1.68,23,
0.11,2.12,1.35,,,2.4,1.68,24,
0.71,3.13,4.73,,,2.4,1.68,27,
0.3,0.17,2.12,,,2.4,1.68,32,
0.27,1.7,2.58,,,2.4,1.68,43,
0.69,0.6,4.18,,,2.4,1.68,52,
0.75,4.64,1.31,,,2.4,1.68,50,
0.27,3.13,0.81,,,2.4,1.68,49,
0.25,3.02,3.08,,,2.4,1.68,46,
0.56,1.67,4.51,,,2.4,1.68,43,
0.81,1.5,2.73,,,2.4,1.68,41,
0.77,1.58,2.88,,,2.56,1.792,40,
0.87,0.07,2.09,,,2.56,1.792,39,
0.7,0.43,4.8,,,2.56,1.792,40,
0.15,2.32,3.85,,,2.56,1.792,41,
0.58,0.27,1.85,,,2.56,1.792,43,
0.35,0.89,1.11,,,2.56,1.792,44,
0.47,4.62,2.69,,,2.41,1.687,45,
0.54,2.31,0.99,,,2.41,1.687,45,
0.42,0.64,2.67,,,2.41,1.687,44,
0.6,0.84,1.68,,,2.41,1.687,39,
0.54,1.19,3.92,,,2.41,1.687,31,
0.35,3.15,0.87,,,2.41,1.687,24,
0.1,4.14,4.34,,,2.32,1.624,28,
0.73,0.25,4.89,,,2.32,1.624,29,
0.47,0.7,2.87,,,2.32,1.624,29,
0.76,2.92,3.86,,,2.32,1.624,32,
0.53,3.85,0.87,,,2.32,1.624,37,
0.26,3.09,2.85,,,2.32,1.624,50,
0.11,2.47,2.85,,,2.26,1.582,60,
0.33,2.41,1.67,,,2.26,1.582,58,
0.74,2.27,3.96,,,2.26,1.582,57,
0.11,4.64,3.56,,,2.26,1.582,54,
0.35,1.12,0.84,,,2.26,1.582,51,
0.64,4.84,4.17,,,2.26,1.582,49,
0.86,2.35,2.74,,,2.36,1.652,48,
0.65,1.68,0.09,,,2.36,1.652,47,
0.57,3.94,3.13,,,2.36,1.652,48,
0.92,0.95,1.78,,,2.36,1.652,49,
0.27,1.63,0.16,,,2.36,1.652,51,
0.22,0.75,0.07,,,2.36,1.652,52,
0.11,3.21,2.07,,,2.28,1.596,52,
0.09,1.73,4.88,,,2.28,1.596,52,
0.31,3.19,1.08,,,2.28,1.596,50,
0.09,2.89,2.8,,,2.28,1.596,45,
0.13,4.65,0.35,,,2.28,1.596,36,
0.25,1.88,4.75,,,2.28,1.596,29,
0.87,2.69,1.5,,,2.2,1.54,32,
0.42,3.91,2.87,,,2.2,1.54,33,
0.96,4.49,0.17,,,2.2,1.54,34,
0.89,2.45,1.81,,,2.2,1.54,36,
0.59,3.44,1.33,,,2.2,1.54,42,
0.12,2.39,0.68,,,2.2,1.54,56,
0.75,3.76,0.56,,,2.17,1.519,66,
0.87,3.87,2.71,,,2.17,1.519,64,
0.15,0.6,0.93,,,2.17,1.519,63,
0.01,4.68,3,,,2.17,1.519,61,
0.44,4.98,3.03,,,2.17,1.519,58,
0.53,0.3,3.16,,,2.17,1.519,56,
0.44,4.69,0.25,,,2.4,1.68,54,
0.25,3.96,0.93,,,2.4,1.68,54,
0.97,2.94,2.52,,,2.4,1.68,54,
0.06,0.38,0.25,,,2.4,1.68,55,
0.19,1.13,2.26,,,2.4,1.68,57,
0.54,1.66,1.26,,,2.4,1.68,58,
0.55,1.1,0.01,,,2.28,1.596,58,
0.16,1.41,3.93,,,2.28,1.596,57,
0.53,0.57,3.02,,,2.28,1.596,56,
0.28,1.53,1.42,,,2.28,1.596,50,
0.51,4.45,4.14,,,2.28,1.596,40,
0.46,0.18,0.55,,,2.28,1.596,34,
0.67,0.43,0.43,,,2.19,1.533,35,
0.07,2.8,3.5,,,2.19,1.533,36,
0.2,3.11,4.57,,,2.19,1.533,37,
0.96,0.07,1.32,,,2.19,1.533,40,
0.23,1.71,1.91,,,2.19,1.533,45,
0.08,0.62,2.6,,,2.19,1.533,61,
0.59,0.8,3.12,,,2.16,1.512,72,
0.74,1.88,1.12,,,2.16,1.512,70,
0.33,2.02,2.53,,,2.16,1.512,69,
0.23,2.81,4.59,,,2.16,1.512,66,
0.41,4.79,0.85,,,2.16,1.512,63,
0.87,3.51,2.36,,,2.16,1.512,61,
0.78,4.11,4.35,,,2.32,1.624,59,
0.77,0.04,0.57,,,2.32,1.624,58,
0.73,2.73,1.51,,,2.32,1.624,59,
0.95,2.73,2.76,,,2.32,1.624,60,
0.92,3.75,0.87,,,2.32,1.624,62,
0.77,3.85,3.67,,,2.32,1.624,63,
0.99,4.05,4.41,,,2.22,1.554,63,
0.86,3.09,2.73,,,2.22,1.554,63,
0.79,3.54,2.76,,,2.22,1.554,61,
0.42,1.4,0.17,,,2.22,1.554,55,
0.86,3.94,3.11,,,2.22,1.554,44,
0.19,3.61,4.26,,,2.22,1.554,37,
0.92,4.1,0.51,,,2.16,1.512,34,
0.65,2.32,0.52,,,2.16,1.512,35,
0.6,3.48,3.66,,,2.16,1.512,36,
0.67,4.15,1.53,,,2.16,1.512,38,
0.4,2.96,3.61,,,2.16,1.512,43,
0.95,1.13,2.46,,,2.16,1.512,58,
0.14,0.95,1.49,,,2.21,1.547,70,
0.26,2.76,2.64,,,2.21,1.547,68,
0.44,0.17,1.3,,,2.21,1.547,67,
0.16,0.4,0.75,,,2.21,1.547,64,
0.85,4,0.18,,,2.21,1.547,61,
0.39,4.14,3.79,,,2.21,1.547,59,
0.78,4.07,0.39,,,2.43,1.701,57,
0.82,1.53,2.22,,,2.43,1.701,56,
0.87,2.91,0.71,,,2.43,1.701,57,
1,4.61,1.9,,,2.43,1.701,58,
0.15,2.32,2.08,,,2.43,1.701,60,
0.39,2.38,3.02,,,2.43,1.701,61,
0.48,0.16,1.48,,,2.42,1.694,61,
0.12,2.67,4.09,,,2.42,1.694,60,
0.39,1.9,0.23,,,2.42,1.694,58,
0.76,2.39,2.19,,,2.42,1.694,53,
0.72,2.43,0.7,,,2.42,1.694,43,
0.36,2.99,3.43,,,2.42,1.694,36,
0.2,3.09,3.34,,,2.3,1.61,32,
0.84,0.73,0.75,,,2.3,1.61,33,
0.23,4.81,4.33,,,2.3,1.61,34,
0.54,4.37,0.14,,,2.3,1.61,36,
0.86,1.57,3.34,,,2.3,1.61,41,
0.56,2.85,0.7,,,2.3,1.61,56,
0.99,2.52,1.06,,,2.22,1.554,67,
0.79,2.87,3.03,,,2.22,1.554,64,
0.5,1.41,0.5,,,2.22,1.554,62,
0.86,1.11,1.55,,,2.22,1.554,60,
0.86,1.07,3.99,,,2.22,1.554,57,
0.86,0.75,0.87,,,2.22,1.554,56,
0.56,1.79,2.53,,,2.43,1.701,54,
0.83,0.74,3.65,,,2.43,1.701,53,
0.45,4.34,3.77,,,2.43,1.701,52,
0.65,1.23,0.17,,,2.43,1.701,53,
0.39,0.07,3.79,,,2.43,1.701,56,
0.13,0.21,2.16,,,2.43,1.701,58,
0.29,3.63,3.52,,,2.32,1.624,58,
0.78,4.29,1.58,,,2.32,1.624,57,
0.41,3,3.97,,,2.32,1.624,55,
0.39,0.73,2.91,,,2.32,1.624,51,
0.89,4.74,3.75,,,2.32,1.624,41,
0.16,4.85,4.49,,,2.32,1.624,34,
0.11,2.74,3.98,,,2.18,1.526,34,
0.76,0.65,3.66,,,2.18,1.526,35,
0.43,2.08,0.2,,,2.18,1.526,35,
0.27,1.5,2.06,,,2.18,1.526,38,
0.71,3.29,4.03,,,2.18,1.526,44,
0.91,4.82,4.71,,,2.18,1.526,60,
0.82,0.56,4.98,,,2.19,1.533,67,
0.82,4.95,0.3,,,2.19,1.533,63,
0.9,2.83,1.1,,,2.19,1.533,62,
0.11,4.15,4.91,,,2.19,1.533,60,
0.96,2.51,4.51,,,2.19,1.533,57,
0.04,4.63,2.51,,,2.19,1.533,56,
0.28,3.93,3.69,,,2.39,1.673,54,
0.27,4.9,2.99,,,2.39,1.673,54,
0.98,2.54,0.94,,,2.39,1.673,54,
0.59,2.63,4.87,,,2.39,1.673,56,
0.2,0.5,1.99,,,2.39,1.673,57,
0.55,1.52,0.88,,,2.39,1.673,60,
0.03,3.75,3.9,,,2.3,1.61,60,
0.82,1.01,3.92,,,2.3,1.61,59,
0.19,3.18,3.86,,,2.3,1.61,58,
0.58,2.17,2.99,,,2.3,1.61,53,
0.24,4.94,0.48,,,2.3,1.61,43,
0.91,1.93,0.3,,,2.3,1.61,36,
0.38,4.14,3.99,,,2.22,1.554,35,
0.65,0.78,2.33,,,2.22,1.554,36,
0.09,3.09,1.5,,,2.22,1.554,37,
0.69,0.37,3.51,,,2.22,1.554,40,
0.52,2.27,4.24,,,2.22,1.554,46,
0.69,0.4,1.24,,,2.22,1.554,61,
0.63,1.78,1.14,,,2.17,1.519,72,
0.89,2.77,0.71,,,2.17,1.519,70,
0.93,1.23,2.28,,,2.17,1.519,69,
0.92,2.12,1.39,,,2.17,1.519,66,
0.36,1.54,1.08,,,2.17,1.519,63,
0.91,0.43,3.6,,,2.17,1.519,61,
0.11,2.39,0.44,,,2.3,1.61,59,
0.6,1.37,3.62,,,2.3,1.61,59,
0.8,4.11,4.38,,,2.3,1.61,59,
0.49,1.56,1.63,,,2.3,1.61,60,
0.98,4.21,0.32,,,2.3,1.61,62,
0.58,0.06,2.99,,,2.3,1.61,64,
0.7,0.81,4.03,,,2.22,1.554,64,
0.56,1.41,0.17,,,2.22,1.554,63,
0.84,2.05,4.92,,,2.22,1.554,60,
0.26,4.27,0.3,,,2.22,1.554,55,
0.3,0.99,2.73,,,2.22,1.554,45,
0.65,4.94,4.98,,,2.22,1.554,37,
0.96,4.94,0.93,,,2.15,1.505,39,
0.48,1.73,0.37,,,2.15,1.505,40,
0.13,2.69,0.85,,,2.15,1.505,41,
0.95,2.76,3.36,,,2.15,1.505,44,
0.93,3.56,2.08,,,2.15,1.505,49,
0.68,0.97,3.01,,,2.15,1.505,64,
0.02,4.18,2.21,,,2.13,1.491,77,
0.34,3.13,1.05,,,2.13,1.491,74,
0.85,3.78,1.3,,,2.13,1.491,74,
0.52,1.21,3.33,,,2.13,1.491,71,
0.12,0.45,1.74,,,2.13,1.491,68,
0.79,1.9,1.46,,,2.13,1.491,65,
0.73,2.33,3.16,,,2.25,1.575,63,
0.84,2.91,4.12,,,2.25,1.575,62,
0.84,2.94,0.93,,,2.25,1.575,63,
0.15,0.27,3.78,,,2.25,1.575,64,
0.55,5,1.67,,,2.25,1.575,66,
0.78,2.44,3.77,,,2.25,1.575,67,
0.78,1.43,3.71,,,2.16,1.512,67,
0.69,1.75,3.82,,,2.16,1.512,66,
0.14,1.48,1.13,,,2.16,1.512,64,
0.17,2.47,4.83,,,2.16,1.512,58,
0.79,4.91,1.63,,,2.16,1.512,48,
0.42,2.42,4.82,,,2.16,1.512,41,
0.58,0.96,0.33,,,2.13,1.491,38,
0.07,3.19,4.09,,,2.13,1.491,39,
0.74,3.26,4.98,,,2.13,1.491,40,
0.5,0.64,3,,,2.13,1.491,42,
0.45,3.15,0.12,,,2.13,1.491,48,
0.11,3.5,0.14,,,2.13,1.491,63,
0.71,4.18,3.5,,,2.15,1.505,75,
0.07,4.24,4.2,,,2.15,1.505,73,
0.07,2.83,4.75,,,2.15,1.505,72,
0.05,4.17,3.61,,,2.15,1.505,69,
0.58,0.37,0.11,,,2.15,1.505,66,
0.96,1.03,3.65,,,2.15,1.505,64,
0.32,1.8,4.66,,,2.37,1.659,62,
0.18,0.63,3.02,,,2.37,1.659,61,
0.41,3.84,1.33,,,2.37,1.659,62,
0.02,0.1,3.43,,,2.37,1.659,63,
0.6,1.78,2.9,,,2.37,1.659,65,
0.71,4.96,4.09,,,2.37,1.659,66,
0.54,3.16,2.72,,,2.34,1.638,66,
0.28,4.26,1.63,,,2.34,1.638,65,
0.01,4.37,2.04,,,2.34,1.638,63,
0.17,1.78,3.87,,,2.34,1.638,57,
0.77,1.59,1.22,,,2.34,1.638,46,
0.52,2.33,0.1,,,2.34,1.638,39,
0.21,4.86,4.11,,,2.23,1.561,34,
0.82,4.55,4.58,,,2.23,1.561,35,
0.34,2.85,4.75,,,2.23,1.561,36,
0.8,1.4,3.7,,,2.23,1.561,38,
0.71,3.29,0.05,,,2.23,1.561,43,
0.68,1.09,4.1,,,2.23,1.561,58,
0.9,3.98,2.77,,,2.22,1.554,69,
0.38,2.77,3.56,,,2.22,1.554,67,
0.58,4.12,0,,,2.22,1.554,66,
0.22,1.13,1.4,,,2.22,1.554,63,
0.66,1.77,1.69,,,2.22,1.554,60,
0.82,0.62,4.65,,,2.22,1.554,58,
0.7,1.47,3.37,,,2.53,1.771,56,
0.44,3.2,0.89,,,2.53,1.771,56,
0.62,4.62,3.14,,,2.53,1.771,56,
0.74,4.56,2.87,,,2.53,1.771,57,
0.9,2.55,1.53,,,2.53,1.771,59,
0.53,4.42,3.53,,,2.53,1.771,61,
0.53,1.32,4.74,,,2.44,1.708,60,
0.07,3.82,4.37,,,2.44,1.708,60,
0.45,3.62,2.96,,,2.44,1.708,58,
0.2,4.51,0.91,,,2.44,1.708,52,
0.74,4.14,3.82,,,2.44,1.708,42,
0.09,3.98,3.07,,,2.44,1.708,35,
0.87,3.33,1.58,,,2.35,1.645,28,
0.68,3.85,4.55,,,2.35,1.645,29,
0.59,3.88,1.23,,,2.35,1.645,30,
0.31,2.3,3.58,,,2.35,1.645,32,
0.31,2.7,2.04,,,2.35,1.645,38,
0.53,3.01,1.98,,,2.35,1.645,51,
0.6,4.29,2.92,,,2.33,1.631,61,
0.96,3.55,2.97,,,2.33,1.631,60,
0.37,3.41,2.56,,,2.33,1.631,58,
0.88,0.39,3.04,,,2.33,1.631,56,
0.99,1.83,1.22,,,2.33,1.631,53,
0.23,3.52,1.56,,,2.33,1.631,51,
0.36,2.2,0.4,,,2.55,1.785,49,
0.17,3.01,1.22,,,2.55,1.785,48,
0.74,0.77,2.3,,,2.55,1.785,49,
0.09,0.28,3.9,,,2.55,1.785,50,
0.12,3.98,0.33,,,2.55,1.785,52,
0.1,0.93,1.26,,,2.55,1.785,53,
0.48,3.59,3.22,,,2.48,1.736,53,
0.69,1.25,3.38,,,2.48,1.736,53,
0.94,3.31,2.32,,,2.48,1.736,51,
0.71,1.15,0.53,,,2.48,1.736,46,
0.15,1.82,3.74,,,2.48,1.736,37,
0.67,0.83,4.87,,,2.48,1.736,30,
0.95,4.63,2.25,,,2.39,1.673,23,
0.31,4.26,2.51,,,2.39,1.673,24,
0.29,2.08,0.62,,,2.39,1.673,25,
0.92,1.83,0.12,,,2.39,1.673,27,
0.1,2.19,4.87,,,2.39,1.673,33,
0.1,4.49,3.12,,,2.39,1.673,45,
0.01,2.68,1.9,,,2.39,1.673,54,
0.29,0.63,1.52,,,2.39,1.673,51,
0.58,0.78,2.82,,,2.39,1.673,50,
0.19,1.38,0.63,,,2.39,1.673,47,
1,3.67,2.17,,,2.39,1.673,44,
